beerName,upc,quantityOnHand,price,categories
Roasty Wolf #00038,010000000038,109,9.70,Sour
Bright Comet #00039,010000000039,199,6.92,Brown Ale;Hefeweizen;Saison
Roasty Harbor #00040,010000000040,97,7.56,Kölsch;Lager
Juicy Comet #00041,010000000041,382,7.91,Lager
Dry Wolf #00042,010000000042,257,12.36,Lager;NEIPA
Crisp Harbor #00043,010000000043,35,2.88,Bock;Stout
Dry Monk #00044,010000000044,296,2.30,Hefeweizen
Dry Forge #00045,010000000045,267,7.96,Tripel;Wheat
Golden Rocket #00046,010000000046,202,4.17,Gose;Tripel
Crisp Comet #00047,010000000047,234,3.53,Saison
Golden Cloud #00048,010000000048,135,4.20,Pale Ale;Pilsner
Smooth Rocket #00049,010000000049,80,10.46,Barleywine;NEIPA
Hoppy Cloud #00050,010000000050,153,3.61,Amber;Stout
Crisp Cloud #00051,010000000051,79,7.06,Barleywine;Wheat
Smooth Monk #00052,010000000052,351,6.89,Amber;Lager;Pilsner
Bright Rocket #00053,010000000053,22,1.56,Amber;Porter
Dark Wolf #00054,010000000054,282,10.24,Stout
Crisp Harbor #00055,010000000055,279,2.22,Kölsch;Saison
Dark Oak #00056,010000000056,65,2.34,Dubbel;Lager
Smooth Monk #00057,010000000057,349,6.60,Dubbel
Juicy Oak #00058,010000000058,498,4.65,Barleywine;Sour
Bright Comet #00059,010000000059,91,8.29,Amber;Pale Ale;Sour
Crisp Oak #00060,010000000060,446,2.28,Gose;Pale Ale;Wheat
Smooth Rocket #00061,010000000061,420,6.15,IPA;Wheat
Bright River #00062,010000000062,142,2.91,Dubbel;NEIPA
Bright Cloud #00063,010000000063,169,2.05,Amber
Dark Forge #00064,010000000064,492,6.92,Stout
Dry Oak #00065,010000000065,176,7.91,Barleywine;NEIPA;Stout
Bright Forge #00066,010000000066,97,6.70,Hefeweizen
Hoppy Cloud #00067,010000000067,473,12.51,Dubbel;Hefeweizen
Crisp River #00068,010000000068,319,7.91,Brown Ale
Juicy Rocket #00069,010000000069,341,9.85,Bock;Brown Ale
Juicy Harbor #00070,010000000070,98,10.10,Brown Ale;Kölsch;Sour
Bright Cloud #00071,010000000071,426,1.49,Brown Ale;Wheat
Bright Forge #00072,010000000072,310,8.08,Barleywine;Gose;Wheat
Juicy Wolf #00073,010000000073,406,4.96,Brown Ale
Juicy Forge #00074,010000000074,171,3.40,Brown Ale;Pale Ale
Golden Harbor #00075,010000000075,12,2.43,Pilsner;Session IPA
Roasty Oak #00076,010000000076,453,5.47,Bock;Pale Ale;Session IPA
Dark Comet #00077,010000000077,457,3.67,NEIPA;Pale Ale;Sour
Roasty Comet #00078,010000000078,285,6.59,Gose
Dark Wolf #00079,010000000079,341,12.36,Gose;NEIPA
Bright Cloud #00080,010000000080,228,4.74,Amber;Gose;Pale Ale
Wild Cloud #00081,010000000081,248,6.38,Gose;Pilsner
Wild Monk #00082,010000000082,139,8.36,Pilsner;Saison
Dark Harbor #00083,010000000083,118,9.33,Pilsner;Wheat
Bright Oak #00084,010000000084,169,12.60,Hefeweizen;Lager;Wheat
Bright Oak #00085,010000000085,463,1.89,Dubbel;IPA;Session IPA
Wild Oak #00086,010000000086,436,10.07,Pale Ale;Session IPA
Wild Oak #00087,010000000087,248,2.08,Bock;Sour;Tripel
Roasty Harbor #00088,010000000088,318,12.42,Bock
Dry Forge #00089,010000000089,339,2.04,Hefeweizen
Dark Wolf #00090,010000000090,93,2.51,Bock;Tripel
Golden Wolf #00091,010000000091,167,8.40,Amber;Barleywine;Hefeweizen
Crisp Wolf #00092,010000000092,9,12.53,Dubbel
Golden Fox #00093,010000000093,399,2.31,Pale Ale
Golden Comet #00094,010000000094,318,4.61,Porter;Session IPA
Crisp Forge #00095,010000000095,485,5.95,Amber;Dubbel;Sour
Dry Forge #00096,010000000096,493,3.83,Brown Ale;Stout
Dry Comet #00097,010000000097,475,7.87,Bock;Pilsner;Wheat
Dry Monk #00098,010000000098,52,7.66,Kölsch
Hoppy River #00099,010000000099,272,10.26,NEIPA;Pilsner
Smooth Comet #00100,010000000100,434,10.09,Dubbel;Hefeweizen;Stout
Roasty Harbor #00101,010000000101,222,5.09,Barleywine;Saison
Roasty Wolf #00102,010000000102,223,6.98,Pale Ale;Pilsner
Wild Wolf #00103,010000000103,124,11.00,IPA;Session IPA;Tripel
Smooth Harbor #00104,010000000104,249,5.83,Amber;Tripel
Wild Forge #00105,010000000105,359,7.14,NEIPA
Golden Fox #00106,010000000106,123,9.81,Pale Ale;Saison;Session IPA
Roasty Wolf #00107,010000000107,405,1.84,Brown Ale
Golden Oak #00108,010000000108,354,6.47,Dubbel;Kölsch
Roasty Cloud #00109,010000000109,271,8.53,Dubbel;Saison;Tripel
Roasty Rocket #00110,010000000110,156,6.63,Stout;Wheat
Smooth Fox #00111,010000000111,380,12.46,Barleywine;Wheat
Roasty Rocket #00112,010000000112,370,12.23,Stout;Wheat
Wild Monk #00113,010000000113,184,5.16,IPA;Saison
Dark Rocket #00114,010000000114,23,2.60,Porter;Session IPA
Crisp Comet #00115,010000000115,293,7.31,Gose;Session IPA;Tripel
Dark Comet #00116,010000000116,129,11.27,Pilsner
Bright Wolf #00117,010000000117,37,2.58,Kölsch;Porter
Wild Fox #00118,010000000118,127,3.91,Barleywine;NEIPA;Pale Ale
Bright Wolf #00119,010000000119,465,10.55,Hefeweizen;Kölsch
Wild Forge #00120,010000000120,317,2.72,Wheat
Golden Rocket #00121,010000000121,338,3.15,Pale Ale;Sour
Juicy Fox #00122,010000000122,80,1.54,Brown Ale;Gose;Session IPA
Hoppy Monk #00123,010000000123,147,7.28,Amber;Pale Ale;Pilsner
Dry Monk #00124,010000000124,217,3.84,Amber;Porter
Dark Fox #00125,010000000125,30,4.88,Barleywine;Kölsch
Wild Wolf #00126,010000000126,63,11.08,Amber;Bock
Juicy Cloud #00127,010000000127,252,10.45,Barleywine
Hoppy Oak #00128,010000000128,376,8.09,IPA;Pilsner
Golden Forge #00129,010000000129,300,1.91,Kölsch;Lager
Dark Wolf #00130,010000000130,265,10.54,Kölsch;Sour
Bright Wolf #00131,010000000131,496,3.35,Dubbel;Hefeweizen;Tripel
Smooth Fox #00132,010000000132,439,4.78,Hefeweizen;Session IPA
Wild Oak #00133,010000000133,416,12.75,Gose
Crisp River #00134,010000000134,129,8.11,Bock
Juicy Comet #00135,010000000135,336,12.60,Hefeweizen;Lager;Wheat
Juicy River #00136,010000000136,318,11.69,Amber;Lager;Wheat
Juicy Harbor #00137,010000000137,474,7.38,IPA;Session IPA;Stout
Dry Monk #00138,010000000138,363,4.73,IPA;Saison
Juicy Oak #00139,010000000139,47,6.09,Gose
Crisp Harbor #00140,010000000140,255,7.46,Hefeweizen;Session IPA
Roasty Monk #00141,010000000141,233,12.77,Bock;Wheat
Dry Cloud #00142,010000000142,382,4.28,Amber
Bright River #00143,010000000143,478,11.88,Brown Ale;IPA
Wild Forge #00144,010000000144,296,11.51,Gose;Saison
Roasty River #00145,010000000145,170,12.79,Gose;Tripel;Wheat
Golden Forge #00146,010000000146,196,6.27,Lager;Session IPA;Tripel
Bright Oak #00147,010000000147,339,4.60,Lager;NEIPA;Porter
Dry River #00148,010000000148,445,3.54,Gose;NEIPA;Stout
Hoppy Harbor #00149,010000000149,209,4.65,Session IPA
Wild River #00150,010000000150,319,9.63,Tripel
Juicy Oak #00151,010000000151,488,7.97,Lager;Pilsner;Saison
Golden Rocket #00152,010000000152,116,3.34,Barleywine;Gose;Stout
Dark Rocket #00153,010000000153,462,2.08,Tripel
Hoppy Rocket #00154,010000000154,183,9.16,NEIPA;Pale Ale;Porter
Bright Forge #00155,010000000155,349,5.17,Pilsner;Sour
Dry Oak #00156,010000000156,317,6.42,Kölsch;Pale Ale;Porter
Roasty Rocket #00157,010000000157,235,6.71,Gose
Wild Cloud #00158,010000000158,80,3.00,Brown Ale;Dubbel;Kölsch
Bright Rocket #00159,010000000159,233,7.67,Bock;Session IPA
Crisp Monk #00160,010000000160,195,8.84,Brown Ale;IPA
Bright Rocket #00161,010000000161,4,2.49,Brown Ale;Dubbel;Pale Ale
Golden Monk #00162,010000000162,317,6.62,Lager;Stout
Wild Wolf #00163,010000000163,17,8.96,Brown Ale;Pilsner
Smooth Oak #00164,010000000164,89,5.60,Dubbel;Saison
Juicy Cloud #00165,010000000165,467,7.07,Amber;Session IPA
Wild River #00166,010000000166,411,3.84,Pale Ale;Pilsner;Porter
Bright Cloud #00167,010000000167,187,3.33,Amber;IPA;Saison
Crisp Wolf #00168,010000000168,188,6.85,Dubbel;Pale Ale;Stout
Roasty Comet #00169,010000000169,317,12.98,Barleywine;Pale Ale
Crisp Wolf #00170,010000000170,465,7.67,Lager;Porter;Stout
Hoppy Rocket #00171,010000000171,252,3.86,Pale Ale
Juicy Harbor #00172,010000000172,198,10.78,Hefeweizen;Saison
Dry Harbor #00173,010000000173,453,9.98,Session IPA
Dry Oak #00174,010000000174,480,7.21,Dubbel
Golden Wolf #00175,010000000175,227,6.32,Dubbel;Stout
Juicy River #00176,010000000176,31,9.64,Stout;Wheat
Roasty Fox #00177,010000000177,339,5.83,Lager
Smooth Monk #00178,010000000178,64,5.69,Saison
Golden Forge #00179,010000000179,110,6.26,IPA;Porter
Wild Harbor #00180,010000000180,66,12.55,Sour;Stout
Hoppy Harbor #00181,010000000181,7,8.82,Kölsch;Tripel
Hoppy Harbor #00182,010000000182,135,2.56,Hefeweizen;NEIPA
Crisp Fox #00183,010000000183,243,10.67,Kölsch;NEIPA
Crisp Wolf #00184,010000000184,257,6.02,NEIPA
Wild Wolf #00185,010000000185,329,2.12,Session IPA
Bright Oak #00186,010000000186,351,3.70,Gose;Kölsch;Pilsner
Smooth Forge #00187,010000000187,75,2.83,Amber;Kölsch
Juicy River #00188,010000000188,195,12.35,Gose;NEIPA
Dry Oak #00189,010000000189,50,3.83,Gose;Hefeweizen
Golden Oak #00190,010000000190,173,10.77,Hefeweizen;Stout;Tripel
Bright River #00191,010000000191,340,6.71,Porter;Session IPA
Crisp Fox #00192,010000000192,425,3.23,Hefeweizen
Crisp River #00193,010000000193,415,4.15,Kölsch
Juicy Cloud #00194,010000000194,168,3.99,Dubbel;Hefeweizen;Lager
Wild Forge #00195,010000000195,159,8.69,Kölsch
Juicy Monk #00196,010000000196,79,11.36,Dubbel;Stout
Juicy River #00197,010000000197,58,7.19,Hefeweizen;Saison
Dry Forge #00198,010000000198,345,12.89,Barleywine
Wild Comet #00199,010000000199,92,7.08,Dubbel;Tripel
Hoppy Harbor #00200,010000000200,445,4.42,IPA;Pilsner;Porter
Crisp Cloud #00201,010000000201,110,9.19,Gose;Sour;Tripel
Smooth Rocket #00202,010000000202,369,8.13,Lager
Dark Harbor #00203,010000000203,386,2.50,Amber
Roasty Oak #00204,010000000204,248,10.54,Amber;NEIPA;Wheat
Crisp River #00205,010000000205,220,3.76,Kölsch;Session IPA
Juicy Rocket #00206,010000000206,23,6.00,Barleywine;IPA;Lager
Golden Rocket #00207,010000000207,484,5.81,Amber;Brown Ale
Smooth Fox #00208,010000000208,3,11.67,Bock;Porter;Sour
Juicy Monk #00209,010000000209,256,12.93,Bock;Pilsner
Hoppy Oak #00210,010000000210,9,10.90,Tripel
Dry Oak #00211,010000000211,293,9.77,Bock;Brown Ale;Stout
Hoppy River #00212,010000000212,87,10.91,Hefeweizen;Pilsner
Crisp Monk #00213,010000000213,223,9.69,Bock
Wild River #00214,010000000214,113,8.31,NEIPA;Pilsner
Crisp Cloud #00215,010000000215,261,5.46,Dubbel;Porter
Golden Fox #00216,010000000216,74,6.73,Porter;Sour
Crisp Harbor #00217,010000000217,487,11.60,Barleywine;Gose;Kölsch
Dry Forge #00218,010000000218,165,7.96,Gose;Pilsner
Roasty Wolf #00219,010000000219,323,7.69,Kölsch;Lager
Smooth Cloud #00220,010000000220,37,7.84,Gose;Kölsch;Lager
Smooth Rocket #00221,010000000221,39,3.33,Gose;Kölsch;Saison
Hoppy Wolf #00222,010000000222,465,5.34,Barleywine;Session IPA
Juicy Harbor #00223,010000000223,490,2.75,Pilsner;Stout;Tripel
Juicy Harbor #00224,010000000224,20,6.56,Gose;Kölsch;NEIPA
Dry Harbor #00225,010000000225,186,9.12,Bock;Hefeweizen
Smooth Forge #00226,010000000226,26,8.34,Tripel
Crisp Cloud #00227,010000000227,347,9.40,Amber;Porter
Smooth Fox #00228,010000000228,298,4.38,Bock;Brown Ale
Dark Forge #00229,010000000229,362,3.22,Bock;Saison
Smooth Harbor #00230,010000000230,343,12.27,Hefeweizen
Juicy River #00231,010000000231,9,8.91,Sour;Wheat
Smooth Wolf #00232,010000000232,98,6.12,Pilsner;Porter
Wild Fox #00233,010000000233,259,12.54,Tripel
Dry Harbor #00234,010000000234,305,9.20,Barleywine;Sour
Dry Harbor #00235,010000000235,369,10.45,Hefeweizen
Smooth Monk #00236,010000000236,496,10.58,Gose;Pale Ale
Juicy Monk #00237,010000000237,158,11.09,Dubbel;Kölsch
Roasty Wolf #00238,010000000238,393,7.26,Barleywine;Hefeweizen;NEIPA
Dark Monk #00239,010000000239,410,4.32,Lager;Session IPA
Smooth Cloud #00240,010000000240,478,3.59,Brown Ale
Crisp Harbor #00241,010000000241,139,10.69,Hefeweizen;Pilsner
Golden Wolf #00242,010000000242,452,8.64,Hefeweizen
Hoppy Oak #00243,010000000243,257,9.14,Bock;Pilsner
Smooth Monk #00244,010000000244,14,8.01,Tripel
Dark Harbor #00245,010000000245,19,7.36,Gose;Porter;Session IPA
Dry Comet #00246,010000000246,463,3.11,Amber
Golden Harbor #00247,010000000247,280,12.29,Brown Ale;Pale Ale;Stout
Wild Fox #00248,010000000248,24,6.37,Barleywine;Gose;Pilsner
Crisp Wolf #00249,010000000249,305,12.46,NEIPA
Dry Monk #00250,010000000250,367,4.43,Hefeweizen;IPA
Dry River #00251,010000000251,123,10.02,NEIPA;Pilsner
Smooth Fox #00252,010000000252,488,12.26,Bock
Roasty Comet #00253,010000000253,325,9.41,Amber;IPA
Smooth Fox #00254,010000000254,176,6.42,Kölsch
Smooth Harbor #00255,010000000255,22,8.70,Gose;Sour
Roasty Harbor #00256,010000000256,415,4.25,Gose
Hoppy Rocket #00257,010000000257,103,2.38,Lager;Tripel
Wild Cloud #00258,010000000258,203,12.61,Amber;Lager;Wheat
Wild River #00259,010000000259,441,2.46,Amber;Stout
Smooth Oak #00260,010000000260,455,9.68,Bock;Sour;Tripel
Roasty Wolf #00261,010000000261,188,12.12,Hefeweizen;Pilsner
Crisp Oak #00262,010000000262,308,5.18,Stout;Tripel
Crisp River #00263,010000000263,338,7.54,Gose;Hefeweizen
Dark Wolf #00264,010000000264,179,10.64,Dubbel
Dry Oak #00265,010000000265,140,2.66,Bock
Smooth Cloud #00266,010000000266,410,4.76,Porter
Dry Wolf #00267,010000000267,17,4.07,Pale Ale
Smooth River #00268,010000000268,196,2.15,Dubbel;Gose
Smooth Wolf #00269,010000000269,390,3.06,Dubbel;NEIPA
Bright River #00270,010000000270,332,7.19,IPA;Stout
Dark Wolf #00271,010000000271,265,9.41,Amber
Wild Wolf #00272,010000000272,109,7.33,Porter;Stout;Wheat
Crisp Wolf #00273,010000000273,88,10.60,Tripel
Smooth Fox #00274,010000000274,281,12.59,Brown Ale;Sour
Dark River #00275,010000000275,260,6.08,Wheat
Dark Monk #00276,010000000276,404,11.60,Dubbel
Juicy Forge #00277,010000000277,188,11.06,Barleywine;Pilsner
Crisp Rocket #00278,010000000278,203,11.29,Hefeweizen;Kölsch;Pilsner
Dark River #00279,010000000279,328,3.00,Dubbel;Gose;NEIPA
Dark Cloud #00280,010000000280,327,5.21,Hefeweizen;NEIPA
Hoppy Fox #00281,010000000281,265,4.62,Barleywine;Sour
Smooth Monk #00282,010000000282,177,12.11,Amber;Pilsner
Golden Cloud #00283,010000000283,140,4.05,Barleywine;Saison
Crisp Cloud #00284,010000000284,328,4.94,Sour;Tripel
Dry Comet #00285,010000000285,422,2.07,Lager
Dry Rocket #00286,010000000286,333,5.80,Barleywine;IPA;Session IPA
Juicy Rocket #00287,010000000287,328,7.67,Bock;Brown Ale;Pale Ale
Roasty Fox #00288,010000000288,352,2.71,Gose;Hefeweizen
Roasty Wolf #00289,010000000289,104,8.45,Barleywine;Tripel
Smooth Oak #00290,010000000290,66,9.07,Tripel
Golden Wolf #00291,010000000291,62,6.96,Pale Ale;Porter;Stout
Hoppy Rocket #00292,010000000292,484,9.35,Pale Ale;Sour;Tripel
Dry River #00293,010000000293,97,4.75,Gose;NEIPA;Session IPA
Wild Wolf #00294,010000000294,11,3.33,Gose;NEIPA;Pale Ale
Golden Forge #00295,010000000295,180,2.48,Brown Ale
Roasty Forge #00296,010000000296,451,11.12,IPA;Saison
Crisp Oak #00297,010000000297,68,6.90,Bock;Dubbel
Hoppy Oak #00298,010000000298,26,12.99,Dubbel;Saison
Wild Fox #00299,010000000299,197,11.81,Amber;Saison;Stout
Dark Fox #00300,010000000300,201,9.13,Dubbel;Saison
Dark Monk #00301,010000000301,308,11.91,Kölsch;Lager;NEIPA
Hoppy Harbor #00302,010000000302,365,8.31,Gose;NEIPA;Porter
Dry Cloud #00303,010000000303,71,8.20,Bock;Sour
Dry Rocket #00304,010000000304,303,8.37,Brown Ale;Kölsch;Session IPA
Hoppy River #00305,010000000305,169,3.73,Brown Ale;IPA;Kölsch
Dry Wolf #00306,010000000306,135,6.15,Kölsch
Roasty Harbor #00307,010000000307,268,9.27,Lager;Pale Ale
Dry Fox #00308,010000000308,97,1.87,Hefeweizen;Porter;Tripel
Bright Monk #00309,010000000309,210,11.76,Lager;NEIPA;Porter
Golden Cloud #00310,010000000310,166,11.28,Gose;Sour;Tripel
Juicy River #00311,010000000311,279,8.74,Barleywine;Session IPA
Golden Monk #00312,010000000312,142,12.91,Brown Ale;Pale Ale
Wild Monk #00313,010000000313,353,11.50,Dubbel;Session IPA
Juicy Rocket #00314,010000000314,147,3.98,Bock;Dubbel;Porter
Wild Comet #00315,010000000315,147,3.10,Amber;Gose
Roasty Monk #00316,010000000316,103,12.52,Amber;Saison
Dark Fox #00317,010000000317,315,6.39,Lager;NEIPA
Golden Monk #00318,010000000318,26,3.54,Session IPA;Stout;Tripel
Dark Comet #00319,010000000319,493,12.76,Hefeweizen;Session IPA
Roasty Monk #00320,010000000320,387,7.37,Brown Ale;Lager
Crisp Forge #00321,010000000321,118,12.44,Sour
Bright Harbor #00322,010000000322,478,2.23,Brown Ale;Session IPA;Sour
Hoppy Comet #00323,010000000323,152,3.68,Brown Ale;Gose
Juicy Cloud #00324,010000000324,252,4.23,Amber;Stout;Wheat
Smooth Harbor #00325,010000000325,374,10.88,IPA;Sour
Smooth Rocket #00326,010000000326,290,5.44,Barleywine;Bock
Bright Cloud #00327,010000000327,167,3.26,Porter;Sour;Stout
Roasty River #00328,010000000328,479,6.57,Amber
Bright Monk #00329,010000000329,228,6.95,Brown Ale;Kölsch
Dry Comet #00330,010000000330,133,8.85,Lager;Stout
Roasty Rocket #00331,010000000331,81,9.79,Brown Ale;Stout
Smooth Forge #00332,010000000332,113,5.97,Porter;Session IPA
Roasty Forge #00333,010000000333,191,10.00,Pale Ale;Saison;Wheat
Dry Fox #00334,010000000334,269,10.63,Kölsch;Pilsner
Crisp Comet #00335,010000000335,424,12.70,Kölsch;Saison
Dark Harbor #00336,010000000336,167,12.14,Session IPA;Stout;Wheat
Crisp Cloud #00337,010000000337,228,2.62,Hefeweizen;NEIPA;Porter
Roasty Forge #00338,010000000338,29,12.93,Bock;Brown Ale;IPA
Wild Comet #00339,010000000339,381,5.95,Lager
Bright River #00340,010000000340,358,2.79,Pilsner
Roasty Comet #00341,010000000341,146,9.86,Hefeweizen;Porter
Smooth Oak #00342,010000000342,229,9.22,Pilsner;Porter;Saison
Smooth Fox #00343,010000000343,91,12.49,NEIPA;Pale Ale;Porter
Hoppy Comet #00344,010000000344,500,7.60,Barleywine;Hefeweizen;Saison
Bright Monk #00345,010000000345,126,10.92,Amber;Porter
Golden Fox #00346,010000000346,16,10.07,Pale Ale
Golden Fox #00347,010000000347,51,2.17,Barleywine;Lager;Pale Ale
Hoppy Oak #00348,010000000348,224,6.28,Lager;Porter
Juicy Rocket #00349,010000000349,119,8.02,Brown Ale;Pale Ale
Dark Cloud #00350,010000000350,113,9.95,Amber;Lager
Juicy Forge #00351,010000000351,450,5.07,Lager;Saison;Session IPA
Smooth Oak #00352,010000000352,402,12.23,Barleywine;Hefeweizen
Dark Rocket #00353,010000000353,192,5.25,Barleywine;Brown Ale;Pale Ale
Dark Wolf #00354,010000000354,468,2.67,Hefeweizen;NEIPA;Saison
Dark Oak #00355,010000000355,124,6.71,Pilsner;Tripel
Roasty River #00356,010000000356,47,12.45,Amber;Lager
Bright Forge #00357,010000000357,308,2.29,Wheat
Dry Cloud #00358,010000000358,111,11.30,Brown Ale;Tripel
Hoppy Monk #00359,010000000359,479,5.38,Session IPA
Golden Forge #00360,010000000360,360,5.67,Pale Ale;Saison;Tripel
Wild Oak #00361,010000000361,238,12.41,Amber;Brown Ale
Smooth Cloud #00362,010000000362,451,11.67,Session IPA;Stout;Tripel
Golden River #00363,010000000363,160,9.96,Kölsch
Golden Harbor #00364,010000000364,8,6.83,Brown Ale;Porter;Wheat
Smooth Monk #00365,010000000365,194,6.52,Amber;Saison;Tripel
Roasty Wolf #00366,010000000366,235,4.93,Porter;Sour
Juicy Wolf #00367,010000000367,94,12.59,NEIPA
Hoppy Fox #00368,010000000368,483,2.48,Hefeweizen
Dark Monk #00369,010000000369,34,4.58,Wheat
Juicy Wolf #00370,010000000370,191,2.72,IPA;Kölsch;Session IPA
Juicy Cloud #00371,010000000371,210,1.73,NEIPA
Wild Cloud #00372,010000000372,500,7.36,NEIPA
Bright Harbor #00373,010000000373,54,3.46,Pale Ale;Wheat
Dry Cloud #00374,010000000374,129,8.74,Bock;Pilsner
Smooth Oak #00375,010000000375,235,6.47,Brown Ale;Pilsner
Hoppy Fox #00376,010000000376,207,9.25,Lager;Saison;Session IPA
Hoppy Harbor #00377,010000000377,42,11.72,Kölsch;Stout;Tripel
Juicy Comet #00378,010000000378,117,5.81,Amber;Lager;Pilsner
Wild Cloud #00379,010000000379,288,2.16,IPA;Tripel
Golden Forge #00380,010000000380,73,9.64,Brown Ale
Dark Forge #00381,010000000381,123,9.45,Bock;Porter
Crisp Cloud #00382,010000000382,381,8.57,Stout
Bright Monk #00383,010000000383,429,3.04,Barleywine;Bock
Smooth Comet #00384,010000000384,324,7.08,Dubbel;Pale Ale;Session IPA
Juicy Oak #00385,010000000385,221,5.29,Brown Ale;Pale Ale;Pilsner
Crisp Fox #00386,010000000386,137,4.64,Bock;Porter;Tripel
Smooth Fox #00387,010000000387,46,1.59,Dubbel;Gose
Wild Fox #00388,010000000388,67,3.27,Gose;Hefeweizen
Juicy Cloud #00389,010000000389,262,9.84,IPA
Crisp River #00390,010000000390,283,3.39,Bock;IPA
Wild Oak #00391,010000000391,198,3.22,Kölsch;NEIPA
Dark Oak #00392,010000000392,86,4.33,Amber;Brown Ale
Roasty Harbor #00393,010000000393,32,4.91,Amber;Brown Ale;Hefeweizen
Roasty Fox #00394,010000000394,184,6.64,Session IPA;Wheat
Roasty Fox #00395,010000000395,69,7.72,Bock
Smooth Forge #00396,010000000396,194,8.23,Hefeweizen;Porter;Tripel
Wild River #00397,010000000397,308,5.60,Bock;Sour;Tripel
Smooth Rocket #00398,010000000398,376,11.54,Bock;Tripel
Wild Oak #00399,010000000399,186,3.82,Kölsch;Saison
Dark Cloud #00400,010000000400,13,10.94,Brown Ale;Gose
Crisp Oak #00401,010000000401,344,11.71,Brown Ale;Pale Ale
Wild Harbor #00402,010000000402,366,10.15,Gose;Pilsner;Session IPA
Dry Oak #00403,010000000403,273,11.86,Dubbel;Lager;Saison
Juicy Forge #00404,010000000404,326,3.23,Pale Ale
Smooth Harbor #00405,010000000405,331,2.39,Hefeweizen;Stout;Tripel
Hoppy Fox #00406,010000000406,132,6.03,Dubbel;Gose
Bright Wolf #00407,010000000407,395,11.73,Dubbel;IPA
Roasty Fox #00408,010000000408,151,10.00,Stout
Dark River #00409,010000000409,159,8.51,NEIPA;Session IPA;Wheat
Smooth Wolf #00410,010000000410,49,10.46,Brown Ale;Pilsner;Tripel
Hoppy Fox #00411,010000000411,11,8.51,Sour
Golden Cloud #00412,010000000412,89,12.79,Saison;Tripel
Bright Wolf #00413,010000000413,118,9.78,Hefeweizen;Sour
Bright Comet #00414,010000000414,377,5.53,Bock;Hefeweizen;Kölsch
Hoppy Monk #00415,010000000415,105,7.19,Kölsch
Crisp Cloud #00416,010000000416,95,8.98,Gose;Wheat
Crisp Rocket #00417,010000000417,343,11.51,Barleywine;Bock
Dry Oak #00418,010000000418,300,3.82,Dubbel;Gose
Dry Harbor #00419,010000000419,416,7.58,Porter
Smooth Fox #00420,010000000420,122,7.74,Sour
Smooth Harbor #00421,010000000421,261,9.44,Barleywine;Bock;Porter
Bright Harbor #00422,010000000422,249,12.49,Saison;Sour
Roasty Rocket #00423,010000000423,71,5.32,Gose;Lager
Smooth Comet #00424,010000000424,248,4.28,Bock;Saison
Juicy Wolf #00425,010000000425,209,11.56,Gose;Session IPA;Sour
Crisp Forge #00426,010000000426,15,6.00,Amber;Lager
Golden Cloud #00427,010000000427,147,4.93,Kölsch;Saison;Session IPA
